ID,#日本語(原文),#やさしい日本語,#英語(原文),
7595,どうも釈然としない。,どうもはっきりとしない。,i just don 't feel satisfied .,
7596,私は家にいて小説でも読む方がよい。,私は家にいて小説でも読む方がよい。,for my part i prefer to stay at home and read a novel .,
7597,彼女はまだ来ていない。,彼女はまだ来ていない。,she has not come yet .,
7598,今日の仕事は終わった。,今日の仕事は終わった。,we have finished the work for today .,
7599,医者は何だって？,医者は何だって？,what 'd the doctor say ?,
7600,彼はいつも君を見ている。,彼はいつもあなたを見ている。,he 's always looking at you .,
7601,あなたの気持ちがよく分かる。,あなたの気持ちがよく分かる。,i know exactly how you feel .,
7602,私はテープを買います。,私はテープを買います。,i buy a tape .,
7603,楽しい御旅行を！,楽しい御旅行を！,a pleasant trip to you !,
7604,牛乳は私の身体に合わない。,牛の乳は私の体に合わない。,milk does not agree with me .,
7605,タクシーはどこで拾えますか。,タクシーはどこで乗ることができますか。,where can i get a taxi ?,
7606,彼は怒るべきだ。,彼は怒るべきだ。,he should be angry .,
7607,次の問題にとりかかった。,次の問題をはじめた。,he proceeded to the next question .,
7608,彼は駅まで行った。,彼は駅まで行った。,he went as far as the station .,
7609,お手伝いしましょうかって言いましたのよ。,手伝いましましょうかって言いましたのよ。,"i said , '' is there anything i can do ? ''",
7610,仕事は非常にはかどっている。,仕事は非常に進んでいる。,the work is marching right along .,
7611,私は自分のためにそうしたのです。,私は自分のためにそうしたのです。,i did so for the sake of my health .,
7612,彼らには子供が一人しかいなかった。,彼らには子供が一人しかいなかった。,they had only one child .,
7613,彼の部屋は決してきちんとしていない。,彼の部屋は決してきちんとしていない。,his room is anything but neat .,
7614,彼がパーティーの責任者になった。,彼がパーティーの責任者になった。,he took charge of the arrangements for the party .,
7615,暗くなる前に家に帰ろう。,暗くなる前に家に帰ろう。,i will return to the house before dark .,
7616,最近はどんな物に凝っているの？,最近はどんな物に集中しているの？,what are you into these days ?,
7617,彼女はまるで病気であったかのように見えた。,彼女はまるで病気であったかのように見えた。,she looked as if she had been ill .,
7618,私の忠告を聞いた方がいい。,私の注意を聞いた方がいい。,you will do well to take my advice .,
7619,君も彼のようにこの本に興味があるのか。,あなたも彼のようにこの本に興味があるのか。,you share his interest in this book ?,
7620,私は彼の話を信じない。,私は彼の話を信じることはない。,i don 't trust his story .,
7621,この食べ物は、私には合わない。,この食べ物は、私には合わない。,this food does not agree with me .,
7622,日本では学校は４月から始まる。,日本では学校は４月から始まる。,"in japan , school starts in april .",
7623,彼は我々に幸あれといった。,彼は私たちに幸せあれといった。,he sent us his blessing .,
7624,床を見下ろしてごらん。,床を見てみよう。,look down at the floor .,
7625,できるあいだに人生を楽しみなさい。,できる間に人生を楽しみなさい。,enjoy your life while you are able to .,
7626,ジョンは私の弟と同じ年です。,ジョンは私の弟と同じ年です。,john is as old as my brother .,
7627,私たちに十分な食べ物がある。,私たちに十分な食べ物がある。,there is food enough for us .,
7628,この橋は長さがどのくらいありますか。,この橋は長さがどのくらいありますか。,how long is this bridge ?,
7629,母は毎日市場に買い物に行く。,母は毎日市場に買い物に行く。,my mother goes to the market every day to buy things .,
7630,私は本当のことを言わざるを得なかった。,私は本当のことを言わざるを得なかった。,i couldn 't but speak the truth .,
7631,君は今日外に出てはならない。,あなたは今日外に出てはならない。,you must not go out today .,
7632,私は彼の過失を許した。,私は彼の間違いを許した。,i forgave his mistake .,
7633,しかし、私の母はいつも答えます。,しかし、私の母はいつも答えます。,but my mother always answered .,
7634,君は辞書の使い方を学ぶべきだ。,あなたは辞書の使い方を学ぶべきだ。,you should learn how to use your dictionary .,
7635,私はあなたの計画に異存はありません。,私はあなたの計画に反対はありません。,i have no objection to against your plan .,
7636,彼はいつも漫画を読んでいる。,彼はいつも漫画を読んでいる。,he 's always reading comics .,
7637,彼女は古い友人を嫌った。,彼女は古い友達を嫌だと思った。,she turned against her old friend .,
7638,誰もが私は父親にであるという。,誰もが私は父にであるという。,everybody says i look like my father .,
7639,彼とはお互い子供のときからつきあっている。,彼とはお互い子供の時から一緒にいる。,i 've been friends with him since we were children .,
7640,同席してもいいかな。,一緒に参加してもいいかな。,you mind if i join you ?,
7641,きみはそこへひとりで行くべきではない。,あなたはそこへ一人で行くべきではない。,you ought not to go there alone .,
7642,彼女に求婚するつもりだ。,彼女に結婚をお願いするつもりだ。,i 'm going to propose to her .,
7643,彼は私の忠告を無視した。,彼は私の注意を聞かなかった。,he took no notice of my advice .,
7644,あと１週間で学校が始まってしまいます。,あと１週間で学校が始まってしまいます。,i have got only a week left before school starts .,
7645,私が彼に忠告しよう。,私が彼に注意しよう。,i 'll give him a piece of advice .,
7646,腹を立てるのもあたりまえだな。,腹を立てるのも当然だな。,it 's natural that she should get angry .,
7647,我々は君の息子さんを立派だとおもっている。,私たちはあなたの息子さんをすごいと思っている。,we had a good opinion of your son .,
7648,彼はきっとチームから除名されるだろう。,彼はきっとチームから除かれるだろう。,he is sure to be cut from the team .,
7649,君の自転車は僕の自転車よりも上等です。,あなたの自転車は僕の自転車よりも良いです。,your bike is better than mine .,
7650,私はイギリスへ行ったことがありません。,私はイギリスへ行ったことがありません。,i have never been to england .,
7651,その車は高すぎて私には買えない。,その車は高すぎて私には買うことができない。,the car is too expensive for me to buy .,
7652,私は兵庫大学の学生です。,私は兵庫大学の学生です。,i am a hyogo university student .,
7653,何とすばらしい着物でしょう。,何とすばらしい着物でしょう。,what a heavenly dress !,
7654,私は嘘をついたことがない。,私は嘘をついたことがない。,i always keep my promises .,
7655,私は壁に絵を掛けた。,私は壁に絵を掛けた。,i hung a picture on the wall .,
7656,今日はやることがたくさんある。,今日は、やることがたくさんある。,i have a great deal to do today .,
7657,テーブルのケーキはどれを食べてもいい。,机のケーキはどれを食べてもいい。,you can have any cake on the table .,
7658,この書類を今すぐ彼女に届けてほしい。,この文書を今すぐ彼女に運んで欲しい。,i want you to take this paper to her right away .,
7659,彼は王様以上だった。,彼は王様以上だった。,he was more than a king .,
7660,私達は紙から多くのものを作る。,私たちは紙から多くのものを作る。,we make lots of things out of paper .,
7661,痔があります。,尻の病気です。,i have hemorrhoids .,
7662,毎日私は病気の友人を訪ねた。,毎日私は病気の友達を訪ねた。,day after day i called on my sick friend .,
7663,彼らはその場所を見つけ出すのに苦労した。,彼らはその場所を見つけ出すのが大変だった。,they had trouble finding the place .,
7664,君は馬に乗る事が出来ますか。,あなたは馬に乗る事が出来ますか。,can you ride a horse ?,
7665,箱は重かったが、彼は何とか運んだ。,箱は重かったが、彼は何とか運んだ。,"the box was heavy , but he managed to carry it .",
7666,次のレースに参加するつもりですか。,次の競争に参加するつもりですか。,are you going to take part in the next race ?,
7667,最近自動車事故に遭いました。,最近自動車事故にあった。,i was recently in an automobile accident .,
7668,これは私が見たうちでいちばん高い木だ。,これは私が見たうちで一番高い木だ。,this is the tallest tree i have ever seen .,
7669,自分で痛い目に会わないとわからない。,自分で痛い目に会わないとわからない。,he has to burn his fingers .,
7670,あなたは行く必要はないと彼は言った。,あなたは行く必要はないと彼は言った。,he said that you need not go .,
7671,どうかドアを開けていただけませんでしょうか。,どうかドアを開けていただけませんでしょうか。,would you be so kind as to open the door for me ?,
7672,彼女は私だけにつらく当たる。,彼女は私だけに強く当たる。,she is only hard on me .,
7673,君は新しい仕事を始める時期だ。,あなたは新しい仕事を始める時期だ。,it is high time you started a new business .,
7674,今晩パーティーをします。,今日の夜パーティーをします。,we 're having a party this evening .,
7675,私は彼女の言うことがほとんど分らない。,私は彼女の言うことがほとんど分からない。,i can hardly understand what she says .,
7676,どっちが勝ってるの？,どちらが勝ってるの？,who 's winning ?,
7677,私がご馳走します。,私が食事を提供します。,i 'll take care of it .,
7678,その船が見えてきた。,その船が見えてきた。,the ship came in sight .,
7679,彼は私に部屋を出て行かせてくれた。,彼は私に部屋を出て行かせてくれた。,he let me leave the room .,
7680,君たちのうち誰でもそれはできる。,あなたたちのうち誰でもそれはできる。,any of you can do it .,
7681,私は犬がとても好きです。,私は犬がとても好きです。,i like dogs very much .,
7682,この本はおもしろくもあり有益でもある。,この本は面白くもありためにもなる。,this book is at once interesting and instructive .,
7683,私の家はその通りから少し入ったところだ。,私の家はその通りから少し入ったところだ。,my house is a little way from the street .,
7684,私たちは新しい方法を考え出した。,私たちは新しい方法を考えた。,we thought out a new way .,
7685,どうやって実行するつもりですか。,どうやって実行するつもりですか。,how are you going to carry it out ?,
7686,途中で何かあったに違いない。,途中で何かあったに違いない。,they must have had an accident .,
7687,その子は純粋な心を持っていた。,その子はきれいな心を持っていた。,the child had a pure heart .,
7688,お茶かコーヒーでもいかがですか。,お茶かコーヒーでもどうですか。,would you like tea or coffee ?,
7689,私は普通夕食前にテレビを見る。,私は普通夕食前にテレビを見る。,i usually watch television before supper .,
7690,彼は音楽家として身を立てた。,彼は音楽家として身を立てた。,he has established himself as a musician .,
7691,後でやっておきます。,後でやっておきます。,i 'll do it later on .,
7692,さぁ、野球をしよう！,では、野球をしよう！,let 's play baseball !,
7693,来週ニューヨークに行くつもりです。,来週ニューヨークに行くつもりです。,i will go to new york next week .,
7694,私たちは６月前に結婚する予定です。,私たちは６月前に結婚する予定です。,we are to get married in june .,
7695,彼女と結婚したいと思っています。,彼女と結婚したいと思っています。,i hope to marry her .,
7696,私たちは火をずっとたいておいた。,私たちは火をずっとつけておいた。,we kept the fire burning .,
7697,月に１度は家に手紙を書くべきだ。,月に１度は家に手紙を書くべきだ。,you should write home once a month .,
7698,彼等は結果に満足しているように見えた。,彼らは結果に満足しているように見えた。,they looked satisfied with the result .,
7699,彼らはその飛行機に乗り込んだ。,彼らはその飛行機に乗った。,they went aboard the plane .,
7700,子猫は中に入りたがった。,子供の猫は中に入りたく思った。,the kitten wanted in .,
7701,彼女に再び会えてうれしかった。,彼女に再び会うことができて嬉しかった。,i was happy to see her again .,
7702,つけでお願いします。,後でまとめて払うことにしてください。,i want to put this on house charge .,
7703,その問題をすぐ調べると彼女は約束した。,その問題をすぐ調べると彼女は約束した。,she promised to look into the matter immediately .,
7704,子供達はもう寝るべき時間だ。,子供たちはもう寝るべき時間だ。,it 's high time the children went to bed .,
7705,世の中は持ちつ持たれつだ。,社会は助けたり助けられたりだ。,live and let live .,
7706,彼女から一ヶ月も便りがありません。,彼女から１ヶ月も連絡がありません。,i have not heard from her for a month .,
7707,パジャマを着なさい。,寝る時に着る服を着なさい。,get into your pajamas .,
7708,君も見てごらん！,あなたも見て！,check it out !,
7709,私の手を離してはいけません。,私の手から離れてはなりません。,don 't let go of my hand .,
7710,今日は来客はなかった。,今日は客が来なかった。,i had no visitor today .,
7711,彼は昔、よい男の子だった。,彼は昔、よい少年だった。,he used to be a nice boy .,
7712,彼女はかんかんに怒った。,彼女はとても怒った。,she got hot with rage .,
7713,私は全く疲れていない。,私は全く疲れていない。,i 'm not at all tired .,
7714,誰が手紙を書いたの。,誰が手紙を書いたの。,who wrote a letter ?,
7715,あなたの時間をうまく利用しなさい。,あなたの時間をうまく利用しなさい。,try to make good use of your time .,
7716,彼は絵をかいている。,彼は絵を描いてみる。,he is drawing a picture .,
7717,彼女はまるで先生のように話します。,彼女はまるで先生のように話します。,she speaks as if she were a teacher .,
7718,好きなだけ取りなさい。,好きなだけ取りなさい。,take as much as you like .,
7719,多分彼はこの仕事が好きだろう。,おそらく彼はこの仕事が好きだろう。,it may be that he likes his job .,
7720,不思議なことに彼は失敗した。,不思議なことに彼は失敗した。,"strangely enough , he failed .",
7721,私は昨日初めてテニスをしました。,私は昨日初めてテニスをしました。,i played tennis yesterday for the first time .,
7722,今日は誰か休んでいますか。,今日は誰か休んでいますか。,is anyone absent today ?,
7723,彼女は微笑みながら言いました。,彼女は小さく笑いながら言いました。,she said with a smile .,
7724,母は私を今日の私にしてくれた。,母は私を今日の私にしてくれた。,mother has made me what i am .,
7725,なぜ君はここに来たのか。,なぜあなたはここに来たのか。,what has brought you here ?,
7726,あなたの弟にいたずらするのをやめなさい。,あなたの弟に嫌なことをするのをやめなさい。,stop playing tricks on your brother .,
7727,家にたくさんのお金を費やした。,家に多くのお金を使った。,i have spent a lot of money on my house .,
7728,誰がどんな趣味だろうと君の知ったことか？,誰が何を好きだろうとあなたの知ったことか？,is it any of your business what someone 's hobby is ?,
7729,彼に別れを告げた。,彼に離れることを言った。,i took leave of him .,
7730,コーヒーが飲みたい。,コーヒーが飲みたい。,i 'd like a cup of coffee .,
7731,笑わせるな！,笑わせるな！,don 't make me laugh !,
7732,彼が店に入るのが見えた。,彼が店に入るのが見えた。,i saw him enter the store .,
7733,来て下さい。君にぜひ会いたいから。,来てください。あなたにぜひ会いたいから。,please come . i 'm anxious to see you .,
7734,この湖には魚が多い。,この湖には魚が多い。,fish abound in this lake .,
7735,大変お疲れのことと思います。,大変疲れていると思います。,i appreciate that you are very fatigued .,
7736,サイダーをください。,サイダーをください。,"i 'd like some cider , please .",
7737,かなりの数の学生が大学に行きたがっている。,多くの数の学生が大学に行きたいと思っている。,a considerable number of students want to go to college .,
7738,当地に来てからどのくらいになりますか。,ここに来てからどのくらいになりますか。,how long have you been here ?,
7739,私はコメディが好きです。,私は人を笑わせる作品が好きです。,i love comedies .,
7740,彼女は彼を助けてやる必要がある。,彼女は彼を助けてやる必要がある。,she needs to help him .,
7741,部屋のすみに机があります。,部屋の中央でないところに机があります。,there is a desk in a corner of the room .,
7742,彼女は訴えるような目で私を見た。,彼女は何かを伝えるような目で私を見た。,she gave me an appealing look .,
7743,悲しそうな顔をする。,悲しそうな顔をする。,i wear a sad look .,
7744,彼はクラスの会合には必ず出席している。,彼はクラスの会には必ず参加している。,he makes a point of attending class meetings .,
7745,私は朝早く外に出た。,私は朝早く外に出た。,i went outside early in the morning .,
7746,たぶん明日は雨になるだろう。,おそらく明日は雨になるだろう。,it is likely to rain tomorrow .,
7747,どうぞその仕事が終わるように取り計らってください。,どうぞその仕事が終わるようにしてください。,please see that the job is finished .,
7748,昨夜帰宅途中に、彼女に再び会った。,昨日の夜家に帰る途中に、彼女に再び会った。,"going home last night , i saw her again .",
7749,みんなテーブルについて。,みんな机について。,sit at the table .,
7750,私達はスキーをしに山に行きました。,私たちは雪の上を滑るスポーツをしに山に行きました。,we went to the mountains to ski .,
7751,まもなく、春がくる。,間もなく、春がくる。,spring will come soon .,
7752,その部屋には窓が２つある。,その部屋には窓が２つある。,the room has two windows .,
7753,我々は知り合ってからまだ日が浅い。,私たちはお互いを知ってからまだ日が過ぎていない。,we haven 't known each other long .,
7754,彼はなんと速く走れるのでしょう。,彼はなんと速く走ることができるのでしょう。,how fast he can run !,
7755,私はこれは自明のことと思う。,私はこれは当然のことと思う。,i hold this as self-evident .,
7756,他人に頼るな。,他の人に頼るな。,don 't rely on others .,
7757,我々はこの問題に立ち向かうべきだ。,私たちはこの問題に対応するべきだ。,we should face up to this issue .,
7758,そのお金に関しては大丈夫だ。,そのお金に関しては大丈夫だ。,"as for the money , it is all right .",
7759,この靴は少し緩い。,この靴は少し大きい。,these shoes are a little loose .,
7760,彼は金はあるが、馬鹿な男だ。,彼は金はあるが、馬鹿な男だ。,he is a rich but dull man .,
7761,彼は２年前に細君に死なれた。,彼は２年前に妻に死なれた。,he had his wife die two years ago .,
7762,イヤホンを持ってきてください。,イヤホンを持ってきてください。,could you bring me earphones ?,
7763,彼は声の限りに叫んだ。,彼は声の限りに叫んだ。,he shouted at the top of his voice .,
7764,父は相変わらず元気です。,父は相変わらず元気です。,father is well as usual .,
7765,一刻の猶予もならない。,少しの時間もない。,there is no time to be lost .,
7766,彼女はこの機械を扱うのに慣れている。,彼女はこの機械を扱うのに慣れている。,she is used to handling this machine .,
7767,死ぬほどお会いしたい。,死ぬほどお会いしたい。,i 'm dying to see you .,
7768,彼女は病気であるようなふりをした。,彼女は病気であるように見せた。,she pretended that she was sick .,
7769,あなたの次に塩をお回しください。,あなたの次に塩をお回しください。,after you with the salt .,
7770,私はその汚職とは全く関係がない。,私はその自分の権利を利用して正しくない利益を得ることとは全く関係がない。,i have nothing to do with the scandal .,
7771,私の意見は概して君のと同じだ。,私の意見はほとんど君のと同じだ。,my opinion is on the whole the same as yours .,
7772,法学部の図書館で仕事を見つけた。,法の勉強をするところの図書館で仕事を見つけた。,he got a job at the law library .,
7773,先生は生徒のなにも質問させなかった。,先生は学生のなにも質問させなかった。,the teacher didn 't let the students ask any questions .,
7774,今日、辞書を持っていますか。,今日、辞書を持っていますか。,have you a dictionary today ?,
7775,君が彼を待っても無駄だ。,あなたが彼を待っても意味がない。,it is no use your waiting for him .,
7776,出席できないときは水曜日までに知らせてください。,参加できない時は水曜日までに知らせてください。,please let me know by wednesday if you can 't attend .,
7777,君はお姉さんほど早く起きないんだね。,あなたはお姉さんほど早く起きないんだね。,you don 't get up as early as your sister .,
7778,きっと雨が降るだろう。,きっと雨が降るだろう。,"it 's going to rain , for sure .",
7779,彼のプレゼントを楽しみにしているの。,彼のプレゼントを楽しみにしているの。,i 'm looking forward to his present .,
7780,何よりも体には十分注意しなさい。,何よりも体には十分注意しなさい。,"above all , you must take good care of yourself .",
7781,きっと３時にきてください。,きっと３時にきてください。,be sure to come at 3 .,
7782,誰が誰だかほとんど見分けがつかなかったよ。,誰が誰だかほとんど違いがわからなかった。,i could hardly tell who was who .,
7783,私は６時に彼らに会うつもりだ。,私は６時に彼らに会うつもりだ。,i 'll meet them at six .,
7784,私たちはパーティーで歌を歌って楽しんだ。,私たちはパーティーで歌を歌って楽しんだ。,we enjoyed singing songs at the party .,
7785,出来るだけはやくお手紙をください。,出来るだけ早くお手紙をください。,please write to me as soon as you can .,
7786,私は彼に１杯のコーヒーを持っていった。,私は彼に１杯のコーヒーを持っていった。,i took him a cup of coffee .,
7787,あの国では何が起こるか分からない。,あの国では何が起こるか分からない。,it is impossible to tell what will happen in that country .,
7788,あなたには感謝してもしきれないくらいだ。,あなたにはとても感謝している。,i cannot thank you enough .,
7789,そのための時間は十分ある。,そのための時間は十分ある。,i have enough time for that .,
7790,ここから出ていけ。いますぐにだ。,ここから出ていけ。今すぐにだ。,"get out of here , and quickly .",
7791,父は毎朝ジョギングする。,父は毎日朝軽く走る。,my father goes jogging every morning .,
7792,私は今朝学校に遅れました。,私は今朝学校に遅れました。,i was late for school this morning .,
7793,私はサイクリングに行きたい。,私は自転車でどこかに行きたい。,i 'd like to go cycling .,
7794,彼はとてもお金持ちだそうです。,彼はとてもお金持ちだそうです。,they say that he is very rich .,
7795,私は音楽の勉強にオーストリアへ行きたい。,私は音楽の勉強にオーストリアへ行きたい。,i would like to go to austria in order to study music .,
7796,私は彼の言うことを信じます。,私は彼の言うことを信じる。,i believe what he says .,
7797,崖からバスは落ちていった。,急な高さがある所からバスは落ちていった。,down went the bus over the cliff .,
7798,私はその問題に正しく答えることができた。,私はその問題に正しく答えることができた。,i was able to answer the question correctly .,
7799,彼女は次の火曜日に母を訪ねるつもりです。,彼女は次の火曜日に母を訪ねるつもりです。,she will visit her mother next tuesday .,
7800,朝食前の散歩は気分がよい。,朝の食事前に外を歩くのは気分がよい。,a walk before breakfast is refreshing .,
7801,彼は昨日ロンドンへたった。,彼は昨日ロンドンへたった。,he left for london yesterday .,
7802,彼はその本をまだ読んでしまっていない。,彼はその本をまだ読んでしまっていない。,he hasn 't read the book yet .,
7803,ライトのスイッチを切ってください。,電気を切ってください。,please turn off the light .,
7804,彼らとその問題について議論しても無駄だ。,彼らとその問題について議論しても無駄だ。,it is vain to argue with them about the problem .,
7805,若いうちにたくさんの本を読むべきだ。,若いうちに多くの本を読むべきだ。,"while you 're young , you should read a lot .",
7806,彼女は今せっせとやっています。,彼女は今頑張ってやっています。,she 's hard at it now .,
7807,彼女が父親を尊敬するのはごく当然だ。,彼女が父を尊敬するのはとても当然だ。,well may she admire her father .,
7808,英語で話すことはとても楽しいことです。,英語で話すことはとても楽しいことです。,speaking english is a lot of fun .,
7809,果報は寝て待て。,いい話は寝て待て。,everything comes to those who wait .,
7810,老婦人は病気で寝ていた。,年齢の高い女性は病気で寝ていた。,the old woman was ill in bed .,
7811,６日間学校に行けませんでした。,６日学校に行くことができませんでした。,i missed school for six days .,
7812,日本に来てから十年になります。,日本に来てから１０年になります。,it is ten years since he came to japan .,
7813,彼はまるで先生であるかのように話す。,彼はまるで先生であるかのように話す。,he talks as if he were a teacher .,
7814,食べ物がほしければたくさん残っていますよ。,食べる物が欲しければたくさん残っていますよ。,there is plenty of food left if you 'd like some .,
7815,私の父は眠っているかもしれない。,私の父は寝ているかも。,my father may be sleeping .,
7816,彼女はとても美しい人だ。,彼女はとても美しい人だ。,she 's very beautiful .,
7817,その子ども達は十分な世話を受けた。,その子供たちは十分な世話を受けた。,the children were well looked after .,
7818,あなたのために絵を書いた。,あなたのために絵を書いた。,i painted a picture for you .,
7819,あの子は手がかかる。,あの子は手がかかる。,that boy is a handful .,
7820,でも、来なかったらどうするの。,でも、来なかったらどうするの。,but what will you do if he doesn 't come ?,
7821,コンサートに行きませんか。,コンサートに行きませんか。,what do you say to going to the concert ?,
7822,彼らは出発の合図を待っていた。,彼らは出発の合図を待っていた。,they were watching for the signal to start .,
7823,私は何をすればいいの。,私は何をすればいいの。,what am i to do ?,
7824,昔の学校友達同士は連絡をとりあおうとする。,昔の学校友達との連絡を取ろうとする。,old school friends often try to keep in touch with one another .,
7825,手紙で君の考えを聞かせてください。,手紙であなたの考えを聞かせてください。,drop me a line and let me know what you think .,
7826,エアコンが故障しています。,エアコンが動きません。,the air conditioner doesn 't work .,
7827,ケーキをお食べください。,ケーキをお食べください。,help yourself to the cake .,
7828,夜だった。,夜だった。,it was night .,
7829,会議は４時に散会した。,会議は４時に終わった。,the meeting broke up at four .,
7830,どこかで一杯どう？,どこかで１杯どう？,would you like to go out to have a drink somewhere ?,
7831,あなたは明日のこの時間どこにいますか。,あなたは明日のこの時間どこにいますか。,where will you be this time tomorrow ?,
7832,行動は言葉よりも声高く語る。,行動は言葉よりも声高く語る。,actions speak louder than words .,
7833,泥棒が逃げた。,泥棒が逃げた。,the thief ran away .,
7834,本を読みながら、私は眠ってしまった。,本を読みながら、私は寝てしまった。,i fell asleep while reading .,
7835,彼は妻が外で働くことに反対した。,彼は妻が外で働くことに反対した。,he objected to his wife working outside .,
7836,彼は今にもここに来るでしょう。,彼は今にもここに来るでしょう。,he 'll be here any moment .,
7837,十二時までに帰ってくるのですよ。,１２時までに帰ってくるのですよ。,you are supposed to be back by noon .,
7838,彼はその少年の目を覗き込んだ。,彼はその少年の目をよく見た。,he looked into the boy 's eyes .,
7839,明日は、昔の友人が訪ねてくる。,明日は、昔の友達が訪ねてくる。,an old friend will call on me tomorrow .,
7840,すみません、ここは私の席ですが。,すみません、ここは私の席ですが。,"excuse me , but i think this is my seat .",
7841,どうして逃げたの。,どうして逃げたの。,why did you run away ?,
7842,彼は兄さんとは異なる。,彼は兄さんとは異なる。,he differs from his brother .,
7843,一人でここに来たのですか。,一人でここに来たのですか。,did you come here alone ?,
7844,えびは私の体に合わない。,水の中にいる背が丸い生物は私の体に合わない。,prawns don 't agree with me .,
7845,彼は手がよい。,彼は手がよい。,he has a good hand .,
7846,それが良いかは解らない。,それが良いかはわからない。,i don 't know if it is good .,
7847,残りはとっておけ。,残った分はとっておけ。,keep the rest for yourself .,
7848,ドアを閉めてはいけません。,ドアを閉じてはなりません。,don 't close the door .,
7849,彼は少しずつよくなるだろう。,彼は少しずつよくなるだろう。,he will get better little by little .,
7850,僕は会には出席します。,僕は会には参加します。,i will present myself at the meeting .,
7851,英語を学ぶのはアメリカへ行くのが一番よい。,英語を学ぶのはアメリカへ行くのが一番よい。,the best way to learn english is to go to america .,
7852,彼はジーンズをはいていた。,彼はズボンを着ていた。,he had jeans on .,
7853,その計画にはたくさんのお金が必要だ。,その計画には多くのお金が必要だ。,the plan requires a large sum of money .,
7854,彼女は自分の美しさにきづいていない。,彼女は自分の美しさに気づいていない。,she is not aware of her beauty .,
7855,生徒達は先生におじぎをした。,学生たちは先生に頭を下にした。,the students bowed to their teacher .,
7856,御茶をもらえますか。,御茶をもらえますか。,can i have some more tea ?,
7857,あの時以来彼に会っていない。,あの時以来彼に会っていない。,i have not seen him since .,
7858,誰もがいつもトムのことをほめる。,誰もがいつもトムのことを褒める。,everyone always speaks well of tom .,
7859,彼はこわがって泳げない。,彼は怖がって泳ぐことが出来ない。,he is afraid to swim .,
7860,彼は一緒に遊ぶ人がいない。,彼は一緒に遊ぶ人がいない。,he does not have anyone to play with .,
7861,昨日来なかった理由を言いなさい。,昨日来なかった理由を言いなさい。,tell me the reason you didn 't come yesterday .,
7862,あのかばんを車に運んでくれますか。,あの鞄を車に運んでくれますか。,could you put those bags in the car for me ?,
7863,心配しなくていいよ。,心配しなくていいよ。,don 't worry .,
7864,彼の今日あるのはあなたのおかげです。,彼の今日あるのはあなたのおかげです。,you have made him what he is .,
7865,子供はよく空想の世界にいる。,子供はよく現実でない世界にいる。,children often live in a world of fancy .,
7866,彼の名前は変な名前だ。,彼の名前はおかしい名前だ。,his is a strange name .,
7867,彼の言う言葉を信じてはいけません。,彼の言う言葉を信じるのはなりません。,you can not believe a word he says .,
7868,彼らは私の意見を重視しなかった。,彼らは私の意見を重要としなかった。,they didn 't take much account of my opinion .,
7869,きみは彼に会いに行くべきだ。,あなたは彼に会いに行くべきだ。,you should go to see him .,
7870,君は仕事に精を出した方がよい。,あなたは仕事を頑張った方がよい。,you 'd better knuckle down to work .,
7871,何があっても彼は行くでしょう。,何があっても彼は行くでしょう。,nothing will stop his going .,
7872,車を利用すれば時間をかなり節約できます。,車を利用すれば時間をかなり短くできます。,you 'll save yourself a lot of time if you take the car .,
7873,塩を取ってくれませんか。,塩を取ってくれませんか。,will you pass me the salt ?,
7874,子供でさえもそれはわかる。,子供でさえもそれはわかる。,even a child can understand that .,
7875,その語はどうつづるのですか。,その語はどう書くのですか。,how do you spell the word ?,
7876,それはおもしろいニュースだ。,それは面白いニュースだ。,it 's an interesting piece of news .,
7877,その返事には開いた口が塞がらなかった。,その返事には開いた口を閉じることができなかった。,i was taken aback at the answer .,
7878,私はゴルフが好きです。,私はボールを打って遠いところにある穴に入れるスポーツが好きです。,i like playing golf .,
7879,ちょっと電話を貸していただけますか。,ちょっと電話を貸していただけますか。,may i use the telephone for a while ?,
7880,私たちは同じ日に生まれた。,私たちは同じ日に生まれた。,we were born on the same day .,
7881,最近私、だれてるの。,最近私、疲れてるの。,i 've been sluggish recently .,
7882,これは私が辞書をあげた人である。,これは私が辞書をあげた人である。,he is the person to whom i gave my dictionary .,
7883,君は馬に乗ることができない。,あなたは馬に乗ることができない。,you can 't ride a horse .,
7884,このような面倒をかけてすいません。,このような手をかけさせてすいません。,i 'm sorry to put you to all these troubles .,
7885,私は彼女と友達になった。,私は彼女と友達になった。,i made friends with her .,
7886,彼はその少女を養女にした。,彼はその少女を法律上の女の子供にした。,they adopted the little girl .,
7887,道案内をしてくださって、どうもありがとう。,道案内をしてくださって、どうもありがとう。,you are very kind to show me the way .,
7888,私はそうするのはばかげていると思う。,私はそうするのは馬鹿だと思う。,i think it 's absurd to do so .,
7889,君は私を笑うかもしれない。,あなたは私を笑うかも。,you may laugh at me .,
7890,その老人は私にフランス語で話し掛けた。,その老人は私にフランス語で話した。,the old man spoke to me in french .,
7891,曇ってきたようだね。,雲が出てきたようだね。,i think it 's clouding up .,
7892,そんなに騒音を立てるな。,そんなにうるさい音を立てるな。,don 't make so much noise .,
7893,彼は明日私を訪ねてくれるでしょう。,彼は明日私を訪ねてくれるでしょう。,he will call on me tomorrow .,
7894,昨日は彼の家に泊まった。,昨日は彼の家で夜を過ごした。,i stayed at his place yesterday .,
7895,もし来られたら来なさい。,もし来られたら来なさい。,come if possible .,
7896,それはすばらしいおもいつきだ。,それはすばらしい考えだ。,that 's a bright idea .,
